ID,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,created_at,updated_at
131,1900-03-17,Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
132,1900-03-26,Wales,England,1,1,British Championship,Cardiff,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
133,1900-04-07,Scotland,England,4,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
134,1901-02-23,Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
135,1901-03-02,Wales,Scotland,1,1,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
136,1901-03-09,England,Northern Ireland,3,0,British Championship,Southampton,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
137,1901-03-18,England,Wales,6,0,British Championship,Newcastle,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
138,1901-03-23,Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
139,1901-03-30,England,Scotland,2,2,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
140,1902-02-22,Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
141,1902-03-01,Northern Ireland,Scotland,1,5,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
142,1902-03-03,Wales,England,0,0,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
143,1902-03-15,Scotland,Wales,5,1,British Championship,Greenock,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
144,1902-03-22,Northern Ireland,England,0,1,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
